x1,x2,x3,x4,x5,x6,Lift,Drag
0.0,0.0,0.0,0.0,0.0,0.0,0.33163225301800003,0.00203955014435
0.5,0.5,0.5,0.5,0.5,0.5,0.7733644602259999,0.0101536087949
0.75,0.25,0.75,0.25,0.75,0.25,0.8543156112289999,0.0067597197670699995
0.25,0.75,0.25,0.75,0.25,0.75,0.665287339293,0.0150237114601
0.375,0.375,0.625,0.125,0.875,0.875,0.806733770286,0.0131430209655
0.875,0.875,0.125,0.625,0.375,0.375,0.79405565622,0.0329393242652
0.625,0.125,0.375,0.375,0.125,0.625,0.475622295021,0.00329148974285
0.125,0.625,0.875,0.875,0.625,0.125,0.9811301239749999,0.0457864419506
0.1875,0.3125,0.3125,0.6875,0.5625,0.1875,0.623490937757,0.00296735484172
0.6875,0.8125,0.8125,0.1875,0.0625,0.6875,0.979457679214,0.0499311027374
0.9375,0.0625,0.5625,0.9375,0.3125,0.4375,0.594698138226,0.00295428960578
0.4375,0.5625,0.0625,0.4375,0.8125,0.9375,0.639658385802,0.0119331646745
0.3125,0.1875,0.9375,0.5625,0.4375,0.8125,0.736223384823,0.006361575304180001
0.8125,0.6875,0.4375,0.0625,0.9375,0.3125,0.9384579622660001,0.0477265998272
0.5625,0.4375,0.1875,0.8125,0.6875,0.5625,0.656066115643,0.00521620023482
0.0625,0.9375,0.6875,0.3125,0.1875,0.0625,1.00241404094,0.0648469219346
0.09375,0.46875,0.84375,0.40625,0.28125,0.34375,0.825176546121,0.0147168138723
0.59375,0.96875,0.34375,0.90625,0.78125,0.84375,0.8773090150660001,0.072884573355
0.84375,0.21875,0.09375,0.15625,0.53125,0.09375,0.551538275997,0.0020664032044100003
0.34375,0.71875,0.59375,0.65625,0.03125,0.59375,0.7821881896549999,0.0205281321112
0.46875,0.09375,0.46875,0.28125,0.65625,0.71875,0.598100187919,0.00359672426522
0.96875,0.59375,0.96875,0.78125,0.15625,0.21875,1.00606784235,0.034454816098199996
0.71875,0.34375,0.71875,0.03125,0.40625,0.96875,0.740000520725,0.00583358715413
0.21875,0.84375,0.21875,0.53125,0.90625,0.46875,0.8330690999889999,0.05440337456
0.15625,0.15625,0.53125,0.84375,0.84375,0.40625,0.692930113557,0.00317819891873
0.65625,0.65625,0.03125,0.34375,0.34375,0.90625,0.552229611699,0.005558665310689999
