density,radius,drag_coefficient,mass,h,alpha,v0,x_max
0.5,0.5,0.5,0.5,0.5,0.5,0.5,17.853245987958488
0.75,0.25,0.75,0.25,0.75,0.25,0.75,17.938884445725623
0.25,0.75,0.25,0.75,0.25,0.75,0.25,17.818171698218737
0.375,0.375,0.625,0.125,0.875,0.875,0.125,16.223072271407904
0.875,0.875,0.125,0.625,0.375,0.375,0.625,16.46200139402978
0.625,0.125,0.375,0.375,0.125,0.625,0.875,20.054396632182023
0.125,0.625,0.875,0.875,0.625,0.125,0.375,18.68889850029506
0.1875,0.3125,0.3125,0.6875,0.5625,0.1875,0.0625,20.075544446073437
0.6875,0.8125,0.8125,0.1875,0.0625,0.6875,0.5625,12.51147310662312
0.9375,0.0625,0.5625,0.9375,0.3125,0.4375,0.8125,21.16312185461665
0.4375,0.5625,0.0625,0.4375,0.8125,0.9375,0.3125,17.632144937097433
0.3125,0.1875,0.9375,0.5625,0.4375,0.8125,0.1875,18.20461625332618
0.8125,0.6875,0.4375,0.0625,0.9375,0.3125,0.6875,15.022369245290294
0.5625,0.4375,0.1875,0.8125,0.6875,0.5625,0.9375,20.399526661810388
0.0625,0.9375,0.6875,0.3125,0.1875,0.0625,0.4375,16.47709739820212
0.09375,0.46875,0.84375,0.40625,0.28125,0.34375,0.53125,18.40645086867932
0.59375,0.96875,0.34375,0.90625,0.78125,0.84375,0.03125,15.35969655236041
0.84375,0.21875,0.09375,0.15625,0.53125,0.09375,0.28125,18.93586669740981
0.34375,0.71875,0.59375,0.65625,0.03125,0.59375,0.78125,17.00158617273519
0.46875,0.09375,0.46875,0.28125,0.65625,0.71875,0.65625,19.696816639817637
0.96875,0.59375,0.96875,0.78125,0.15625,0.21875,0.15625,15.722693201331063
0.71875,0.34375,0.71875,0.03125,0.40625,0.96875,0.40625,14.42521809588655
0.21875,0.84375,0.21875,0.53125,0.90625,0.46875,0.90625,17.94581568058486
0.15625,0.15625,0.53125,0.84375,0.84375,0.40625,0.59375,22.401580496752498
0.65625,0.65625,0.03125,0.34375,0.34375,0.90625,0.09375,16.149438994803685
0.90625,0.40625,0.28125,0.59375,0.09375,0.15625,0.34375,18.506456580326013
0.40625,0.90625,0.78125,0.09375,0.59375,0.65625,0.84375,12.01969676883473
0.28125,0.28125,0.15625,0.96875,0.21875,0.53125,0.71875,22.86874908306682
0.78125,0.78125,0.65625,0.46875,0.71875,0.03125,0.21875,15.58744212935994
0.53125,0.03125,0.90625,0.71875,0.96875,0.78125,0.46875,19.60766145906396
0.03125,0.53125,0.40625,0.21875,0.46875,0.28125,0.96875,19.600769115122045
0.046875,0.265625,0.609375,0.578125,0.703125,0.640625,0.265625,19.92309829040068
0.546875,0.765625,0.109375,0.078125,0.203125,0.140625,0.765625,17.070639508083723
0.796875,0.015625,0.359375,0.828125,0.453125,0.890625,0.515625,20.784416075523286
0.296875,0.515625,0.859375,0.328125,0.953125,0.390625,0.015625,16.395844370879413
0.421875,0.140625,0.234375,0.703125,0.328125,0.265625,0.390625,21.701386603611187
0.921875,0.640625,0.734375,0.203125,0.828125,0.765625,0.890625,11.863453125460282
0.671875,0.390625,0.984375,0.953125,0.578125,0.015625,0.640625,19.028342562820995
0.171875,0.890625,0.484375,0.453125,0.078125,0.515625,0.140625,16.146470196162266
0.234375,0.078125,0.796875,0.140625,0.140625,0.578125,0.328125,18.92135121476199
0.734375,0.578125,0.296875,0.640625,0.640625,0.078125,0.828125,19.024417629824804
0.984375,0.328125,0.046875,0.390625,0.890625,0.828125,0.578125,17.81413575105592
0.484375,0.828125,0.546875,0.890625,0.390625,0.328125,0.078125,16.72717144037214
0.359375,0.453125,0.421875,0.015625,0.765625,0.453125,0.453125,17.318920298326432
0.859375,0.953125,0.921875,0.515625,0.265625,0.953125,0.953125,8.143885400620993
0.609375,0.203125,0.671875,0.265625,0.015625,0.203125,0.703125,19.029915430065994
0.109375,0.703125,0.171875,0.765625,0.515625,0.703125,0.203125,18.791301986447937
0.078125,0.234375,0.265625,0.984375,0.984375,0.984375,0.796875,22.744344170776756
0.578125,0.734375,0.765625,0.484375,0.484375,0.484375,0.296875,15.329330271424302
0.828125,0.484375,0.515625,0.734375,0.234375,0.734375,0.046875,16.606407772660592
0.328125,0.984375,0.015625,0.234375,0.734375,0.234375,0.546875,16.939188365735347
0.453125,0.359375,0.890625,0.859375,0.109375,0.109375,0.921875,20.186555455111762
0.953125,0.859375,0.390625,0.359375,0.609375,0.609375,0.421875,13.871611090769136
0.703125,0.109375,0.140625,0.609375,0.859375,0.359375,0.171875,20.417886885877472
0.203125,0.609375,0.640625,0.109375,0.359375,0.859375,0.671875,15.086304601097687
0.140625,0.421875,0.078125,0.296875,0.421875,0.796875,0.859375,19.88131573373444
0.640625,0.921875,0.578125,0.796875,0.921875,0.296875,0.359375,15.99022736808687
0.890625,0.171875,0.828125,0.046875,0.671875,0.546875,0.109375,15.92152043459317
0.390625,0.671875,0.328125,0.546875,0.171875,0.046875,0.609375,18.84228596756795
0.265625,0.046875,0.703125,0.421875,0.546875,0.171875,0.984375,22.19311462352584
0.765625,0.546875,0.203125,0.921875,0.046875,0.671875,0.484375,18.561573328782934
0.515625,0.296875,0.453125,0.171875,0.296875,0.421875,0.234375,17.91939133124465
0.015625,0.796875,0.953125,0.671875,0.796875,0.921875,0.734375,15.151764955998457
0.0234375,0.3984375,0.4453125,0.8046875,0.2109375,0.8671875,0.3984375,20.197679739059396
